,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,60.01,63,26,4.0,AU,1620801230
1,canazas,8.3167,-81.2167,74.59,92,99,2.39,PA,1620801230
2,verkhoyansk,67.5447,133.385,33.89,56,100,8.1,RU,1620801231
3,ribas do rio pardo,-20.4431,-53.7592,62.96,74,89,4.63,BR,1620801231
4,iqaluit,63.7506,-68.5145,26.6,93,75,8.05,CA,1620800660
5,rikitea,-23.1203,-134.9692,77.49,79,39,23.35,PF,1620801231
6,loandjili,-4.7561,11.8578,77.0,88,75,4.61,CG,1620801232
7,capitan meza,-27.0167,-55.5667,53.6,82,0,8.05,PY,1620801232
8,ushuaia,-54.8,-68.3,48.2,66,20,17.27,AR,1620801233
9,bredasdorp,-34.5322,20.0403,57.2,82,79,8.05,ZA,1620801233
10,adrar,20.5022,-10.0711,78.46,13,1,11.88,MR,1620801233
11,georgetown,5.4112,100.3354,89.6,74,40,10.36,MY,1620801234
12,apastepeque,13.6667,-88.7833,80.6,78,40,4.61,SV,1620801234
13,vaini,-21.2,-175.2,75.2,73,40,9.22,TO,1620801235
14,powell,40.1578,-83.0752,39.99,75,1,4.61,US,1620801235
15,dikson,73.5069,80.5464,30.07,87,98,17.16,RU,1620801235
16,katherine,-14.4667,132.2667,89.6,22,0,12.66,AU,1620801236
17,narsaq,60.9167,-46.05,37.4,52,75,4.61,GL,1620801237
18,ponta do sol,32.6667,-17.1,57.99,71,100,4.0,PT,1620801237
19,russell,32.3502,-85.1999,68.0,94,90,3.22,US,1620801237
20,hobyo,5.3505,48.5268,83.59,68,100,16.73,SO,1620801238
21,bluff,-46.6,168.3333,44.01,78,11,1.99,NZ,1620801238
22,trujillo,-8.116,-79.03,65.61,84,1,3.83,PE,1620801173
23,ous,60.9058,61.5186,59.04,55,100,6.8,RU,1620801239
24,cape town,-33.9258,18.4232,55.99,88,20,2.3,ZA,1620801239
25,punta arenas,-53.15,-70.9167,44.6,81,40,10.36,CL,1620801239
26,vajszlo,45.8596,17.9841,64.4,63,75,12.66,HU,1620801240
27,tagusao,9.1924,117.8141,87.42,67,77,5.1,PH,1620801240
28,albany,42.6001,-73.9662,46.0,70,11,1.01,US,1620800946
29,jacareacanga,-6.2222,-57.7528,74.25,90,98,0.67,BR,1620801241
30,saint-philippe,-21.3585,55.7679,82.4,69,0,12.66,RE,1620801241
31,namibe,-15.1961,12.1522,76.21,54,2,4.72,AO,1620801242
32,lorengau,-2.0226,147.2712,76.84,91,100,2.35,PG,1620801242
33,chadiza,-14.0678,32.4392,66.25,63,6,8.41,ZM,1620801242
34,bongor,10.2806,15.3722,91.2,38,20,8.03,TD,1620801243
35,rundu,-17.9333,19.7667,64.04,37,0,7.07,NA,1620801243
36,vaitape,-16.5167,-151.75,81.7,77,100,21.36,PF,1620801244
37,auki,-8.7676,160.7034,79.93,81,100,1.03,SB,1620801244
38,ancud,-41.8697,-73.8203,50.0,100,75,11.5,CL,1620801245
39,rock sound,24.9,-76.2,78.82,80,11,15.48,BS,1620801245
40,hervey bay,-25.2986,152.8535,80.6,65,5,10.36,AU,1620801245
41,grand gaube,-20.0064,57.6608,82.0,63,0,10.0,MU,1620801246
42,folldal,62.1325,9.9968,40.1,90,100,2.21,NO,1620801246
43,provideniya,64.3833,-173.3,35.6,80,90,11.18,RU,1620801247
44,turukhansk,65.8167,87.9833,51.76,60,100,12.19,RU,1620801010
