,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,noumea,-22.2763,166.4572,81.0,65,0,9.22,NC,1620800426
1,busselton,-33.65,115.3333,61.0,62,83,4.0,AU,1620800555
2,albany,42.6001,-73.9662,46.0,73,11,11.74,US,1620800556
3,bubaque,11.2833,-15.8333,77.36,77,81,9.31,GW,1620800556
4,constitucion,-35.3333,-72.4167,53.02,54,25,4.94,CL,1620800557
5,fortuna,40.5982,-124.1573,48.0,93,1,0.54,US,1620800557
6,vila velha,-20.3297,-40.2925,69.01,100,0,2.3,BR,1620800307
7,coihaique,-45.5752,-72.0662,53.6,71,84,5.75,CL,1620800558
8,mataura,-46.1927,168.8643,44.01,77,9,1.01,NZ,1620800558
9,giulianova,42.7612,13.9537,64.4,48,17,16.11,IT,1620800558
10,hami,42.8,93.45,76.35,28,100,5.53,CN,1620800559
11,rikitea,-23.1203,-134.9692,77.72,78,26,23.76,PF,1620800559
12,williamsport,41.2412,-77.0011,39.99,65,1,3.44,US,1620800334
13,goderich,43.7501,-81.7165,41.0,81,69,10.36,CA,1620800560
14,qaanaaq,77.484,-69.3632,20.39,90,100,7.92,GL,1620800560
15,east london,-33.0153,27.9116,57.2,88,0,11.5,ZA,1620800561
16,ushuaia,-54.8,-68.3,48.2,66,20,17.27,AR,1620800501
17,cabitan,12.2943,123.3412,91.22,54,74,8.61,PH,1620800561
18,cidreira,-30.1811,-50.2056,55.02,75,69,7.18,BR,1620800562
19,cape town,-33.9258,18.4232,55.99,88,20,2.3,ZA,1620800452
20,sao felix do xingu,-6.6447,-51.995,69.64,96,74,1.45,BR,1620800562
21,husavik,66.0449,-17.3389,23.0,86,0,3.44,IS,1620800562
22,vestmanna,62.1564,-7.1664,39.2,75,20,11.5,FO,1620800563
23,faanui,-16.4833,-151.75,81.84,76,51,20.15,PF,1620800563
24,arraial do cabo,-22.9661,-42.0278,68.83,81,16,4.21,BR,1620800564
25,tibati,6.4667,12.6333,67.96,91,100,2.68,CM,1620800564
26,oksfjord,70.2396,22.3479,41.0,75,20,19.57,NO,1620800565
27,porbandar,21.6422,69.6093,91.4,55,15,13.8,IN,1620800565
28,axim,4.8699,-2.2405,78.67,79,16,5.53,GH,1620800565
29,isangel,-19.55,169.2667,80.6,78,40,13.82,VU,1620800566
30,hermanus,-34.4187,19.2345,54.0,97,50,5.39,ZA,1620800566
31,berbera,10.4396,45.0143,90.79,50,74,1.19,SO,1620800567
32,clyde river,70.4692,-68.5914,24.8,100,90,4.61,CA,1620800567
33,hervey bay,-25.2986,152.8535,80.6,65,54,10.36,AU,1620800567
34,nyuksenitsa,60.4128,44.2397,64.4,50,22,3.53,RU,1620800568
35,mahebourg,-20.4081,57.7,80.6,74,40,9.22,MU,1620800568
36,srikakulam,18.3,83.9,92.71,51,76,12.39,IN,1620800446
37,nanortalik,60.1432,-45.2371,39.45,68,98,5.17,GL,1620800569
38,shache,38.4167,77.2406,80.46,19,100,17.38,CN,1620800428
39,ponta do sol,32.6667,-17.1,57.99,71,69,5.01,PT,1620800569
40,atuona,-9.8,-139.0333,80.46,78,15,24.58,PF,1620800570
41,ahipara,-35.1667,173.1667,61.93,91,79,6.87,NZ,1620800570
42,nikolskoye,59.7035,30.7861,68.0,34,0,4.47,RU,1620800570
43,cherskiy,68.75,161.3,26.49,81,93,4.94,RU,1620800571
44,kodiak,57.79,-152.4072,40.91,86,100,2.75,US,1620800571
45,yarada,17.65,83.2667,93.2,59,40,11.5,IN,1620800571
46,thompson,55.7435,-97.8558,46.4,46,40,2.3,CA,1620800572
47,jamestown,42.097,-79.2353,41.0,87,90,8.05,US,1620800392
48,ginir,7.1333,40.7,66.63,63,96,2.1,ET,1620800572
49,cedar city,37.6775,-113.0619,48.99,20,1,4.61,US,1620800573
50,tuktoyaktuk,69.4541,-133.0374,21.2,93,90,18.41,CA,1620800574
51,huilong,31.8111,121.655,70.0,86,70,12.62,CN,1620800574
52,kapaa,22.0752,-159.319,75.2,78,20,14.97,US,1620800574
53,pudozh,61.8099,36.5345,63.32,60,7,6.15,RU,1620800575
54,port lincoln,-34.7333,135.8667,61.74,53,28,5.59,AU,1620800339
55,kaitangata,-46.2817,169.8464,43.0,71,46,0.51,NZ,1620800575
56,tecoanapa,16.5167,-98.75,82.36,73,34,3.31,MX,1620800576
